Question_number;Question;NumCorrect;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Correct;Explanation
159;You need to choose a database for a new project that has the following requirements:<br> Fully managed, Able to automatically scale up, Transactionally consistent, Able to scale up to 6 TB, Able to be queried using SQL. Which database do you choose?;1;Cloud SQL;Cloud Bigtable;Cloud Spanner;Cloud Datastore;;;Cloud Spanner;Google Cloud Spanner is a fully managed, scalable, and transactionally consistent database service that supports SQL queries and can scale up to petabytes. MAKE SHURE IS JUST GPT ANSWER
160;You work for a mid-sized enterprise that needs to move its operational system transaction data from an on-premises database to GCP. The database is about 20 TB in size. Which database should you choose?;1;Cloud SQL;Cloud Bigtable;Cloud Spanner;Cloud Datastore;;;Cloud Spanner;Google Cloud Spanner is ideal for large-scale databases like a 20 TB operational system as it is designed to handle large volumes of data across many nodes, offering high transaction consistency and availability. MAKE SHURE IS JUST GPT ANSWER
161;You need to choose a database to store time series CPU and memory usage for millions of computers. You need to store this data in one-second interval samples. Analysts will be performing real-time, ad hoc analytics against the database. You want to avoid being charged for every query executed and ensure that the schema design will allow for future growth of the dataset. Which database and data model should you choose?;1;Create a table in BigQuery, and append the new samples for CPU and memory to the table;Create a wide table in BigQuery, create a column for the sample value at each second, and update the row with the interval for each second;Create a narrow table in Bigtable with a row key that combines the Computer Engine computer identifier with the sample time at each second;Create a wide table in Bigtable with a row key that combines the computer identifier with the sample time at each minute, and combine the values for each second as column data;;;Create a narrow table in Bigtable with a row key that combines the Computer Engine computer identifier with the sample time at each second;Cloud Bigtable is designed for real-time access for time-series data, and offers throughput, low latency, and scalability. MAKE SURE GPT ANSWERS
162;You want to archive data in Cloud Storage. Because some data is very sensitive, you want to use the Trust No One (TNO) approach to encrypt your data to prevent the cloud provider staff from decrypting your data. What should you do?;1;Use gcloud kms keys create to create a symmetric key. Then use gcloud kms encrypt to encrypt each archival file with the key and unique additional authenticated data (AAD). Use gsutil cp to upload each encrypted file to the Cloud Storage bucket, and keep the AAD outside of Google Cloud.;Use gcloud kms keys create to create a symmetric key. Then use gcloud kms encrypt to encrypt each archival file with the key. Use gsutil cp to upload each encrypted file to the Cloud Storage bucket. Manually destroy the key previously used for encryption, and rotate the key once.;Specify customer-supplied encryption key (CSEK) in the .boto configuration file. Use gsutil cp to upload each archival file to the Cloud Storage bucket. Save the CSEK in Cloud Memorystore as permanent storage of the secret.;Specify customer-supplied encryption key (CSEK) in the .boto configuration file. Use gsutil cp to upload each archival file to the Cloud Storage bucket. Save the CSEK in a different project that only the security team can access.;;;Specify customer-supplied encryption key (CSEK) in the .boto configuration file. Use gsutil cp to upload each archival file to the Cloud Storage bucket. Save the CSEK in a different project that only the security team can access.;This approach gives you full control over the encryption key, and the cloud provider doesn't have access to it, which is the essence of the Trust No One (TNO) approach. MAKE SURE GPT ANSWERS
163;You have data pipelines running on BigQuery, Dataflow, and Dataproc. You need to perform health checks and monitor their behavior, and then notify the team managing the pipelines if they fail. You also need to be able to work across multiple projects. Your preference is to use managed products or features of the platform. What should you do?;1;Export the information to Cloud Monitoring, and set up an Alerting policy;Run a Virtual Machine in Compute Engine with Airflow, and export the information to Cloud Monitoring;Export the logs to BigQuery, and set up App Engine to read that information and send emails if you find a failure in the logs;Develop an App Engine application to consume logs using GCP API calls, and send emails if you find a failure in the logs;;;Export the information to Cloud Monitoring, and set up an Alerting policy;Cloud Monitoring provides visibility into the performance, uptime, and overall health of applications. MAKE SURE GPT ANSWERS
164;You are working on a linear regression model on BigQuery ML to predict a customer's likelihood of purchasing your company's products. Your model uses a city name variable as a key predictive component. In order to train and serve the model, your data must be organized in columns. You want to prepare your data using the least amount of coding while maintaining the predictable variables. What should you do?;1;Create a new view with BigQuery that does not include a column with city information.;Use SQL in BigQuery to transform the state column using a one-hot encoding method, and make each city a column with binary values.;Use TensorFlow to create a categorical variable with a vocabulary list. Create the vocabulary file and upload that as part of your model to BigQuery ML.;Use Cloud Data Fusion to assign each city to a region that is labeled as 1, 2, 3, 4, or 5, and then use that number to represent the city in the model.;;;Use SQL in BigQuery to transform the state column using a one-hot encoding method, and make each city a column with binary values.;One-hot encoding is a process by which categorical variables are converted into a binary vector. This encoding will help you to use the city name variable as a key predictive component in the linear regression model. MAKE SURE GPT ANSWERS
165;You work for a large bank that operates in locations throughout North America. You are setting up a data storage system that will handle bank account transactions. You require ACID compliance and the ability to access data with SQL. Which solution is appropriate?;1;Store transaction data in Cloud Spanner. Enable stale reads to reduce latency.;Store transaction data in Cloud Spanner. Use locking read-write transactions.;Store transaction data in BigQuery. Disabled the query cache to ensure consistency.;Store transaction data in Cloud SQL. Use a federated query BigQuery for analysis.;;;Store transaction data in Cloud Spanner. Use locking read-write transactions.;Cloud Spanner is a fully managed, mission-critical relational database service that offers transactional consistency at global scale, schemas, SQL semantics, high availability, and strong read and write consistency across regions and continents. MAKE SURE GPT ANSWERS
166;A shipping company has live package-tracking data that is sent to an Apache Kafka stream in real time. This is then loaded into BigQuery. Analysts in your company want to query the tracking data in BigQuery to analyze geospatial trends in the lifecycle of a package. The table was originally created with ingest-date partitioning. Over time, the query processing time has increased. You need to implement a change that would improve query performance in BigQuery. What should you do?;1;Implement clustering in BigQuery on the ingest date column.;Implement clustering in BigQuery on the package-tracking ID column.;Tier older data onto Cloud Storage files and create a BigQuery table using Cloud Storage as an external data source.;Re-create the table using data partitioning on the package delivery date.;;;Implement clustering in BigQuery on the package-tracking ID column.;Clustering organizes data based on the contents of specific columns, which then helps with the efficiency of queries that filter on those columns. MAKE SURE GPT ANSWERS
167;Your company currently runs a large on-premises cluster using Spark, Hive, and HDFS in a colocation facility. The cluster is designed to accommodate peak usage on the system, however, many jobs are batch in nature, and usage of the cluster fluctuates quite dramatically. Your company is eager to move to the cloud to reduce the overhead associated with on-premises infrastructure and maintenance and to benefit from the cost savings. They are also hoping to modernize their existing infrastructure to use more serverless offerings in order to take advantage of the cloud. Because of the timing of their contract renewal with the colocation facility, they have only 2 months for their initial migration. How would you recommend they approach their upcoming migration strategy so they can maximize their cost savings in the cloud while still executing the migration in time?;1;Migrate the workloads to Dataproc plus HDFS, modernize later.;Migrate the workloads to Dataproc plus Cloud Storage, modernize later.;Migrate the Spark workload to Dataproc plus HDFS, and modernize the Hive workload for BigQuery.;Modernize the Spark workload for Dataflow and the Hive workload for BigQuery.;;;Migrate the workloads to Dataproc plus Cloud Storage, modernize later.;Migrate the existing Spark and HDFS workloads to Google Cloud using managed services like Dataproc and Cloud Storage. This allows for a quick lift and shift migration with minimal changes to the current workloads. MAKE SURE GPT ANSWERS
168;data is sent to Pub/Sub before being ingested into BigQuery. For security reasons, you decide to redact your customers' Government issued Identification Number while allowing customer service representatives to view the original values when necessary. What should you do?;1;Use BigQuery's built-in AEAD encryption to encrypt the SSN column. Save the keys to a new table that is only viewable by permissioned users.;Use BigQuery column-level security. Set the table permissions so that only members of the Customer Service user group can see the SSN column.;Before loading the data into BigQuery, use Cloud Data Loss Prevention (DLP) to replace input values with a cryptographic hash.;Before loading the data into BigQuery, use Cloud Data Loss Prevention (DLP) to replace input values with a cryptographic format-preserving encryption token.;;;Before loading the data into BigQuery, use Cloud Data Loss Prevention (DLP) to replace input values with a cryptographic format-preserving encryption token.;Cloud Data Loss Prevention (DLP) offers a way to transform sensitive data in a format-preserving manner, allowing authorized individuals to access the original data when necessary. MAKE SURE GPT ANSWERS
169;You are migrating a table to BigQuery and are deciding on the data model. Your table stores information related to purchases made across several store locations and includes information like the time of the transaction, items purchased, the store ID, and the city and state in which the store is located. You frequently query this table to see how many of each item were sold over the past 30 days and to look at purchasing trends by state, city, and individual store. How would you model this table for the best query performance?;1;Partition by transaction time, cluster by state first, then city, then store ID.;Partition by transaction time, cluster by store ID first, then city, then state.;Top-level cluster by state first, then city, then store ID.;Top-level cluster by store ID first, then city, then state.;;;Partition by transaction time, cluster by state first, then city, then store ID.;By partitioning the data by the transaction time, you optimize queries that filter by date range, which is common for sales data. Clustering by the location hierarchy (state, city, store ID) helps improve performance when analyzing sales by geographical area. MAKE SURE GPT ANSWERS
170;You are updating the code for a subscriber to a Pub/Sub feed. You are concerned that upon deployment the subscriber may erroneously acknowledge messages, leading to message loss. Your subscriber is not set up to retain acknowledged messages. What should you do to ensure that you can recover from errors after deployment?;1;Set up the Pub/Sub emulator on your local machine. Validate the behavior of your new subscriber logic before deploying it to production.;Create a Pub/Sub snapshot before deploying new subscriber code. Use a Seek operation to re-deliver messages that became available after the snapshot was created.;Use Cloud Build for your deployment. If an error occurs after deployment, use a Seek operation to locate a timestamp logged by Cloud Build at the start of the deployment.;Enable dead-lettering on the Pub/Sub topic to capture messages that aren't successfully acknowledged. If an error occurs after deployment, re-deliver any messages captured by the dead-letter queue.;;;Create a Pub/Sub snapshot before deploying new subscriber code. Use a Seek operation to re-deliver messages that became available after the snapshot was created.;Creating a Pub/Sub snapshot prior to deployment ensures that you have a fallback mechanism in place in case of errors. The snapshot stores the state of all unacknowledged messages at a given point in time. If any issues arise, the Seek operation can be used to redeliver  MAKE SURE GPT ANSWERSmessages.
171;You work for a large real estate firm and are preparing 6 TB of home sales data to be used for machine learning. You will use SQL to transform the data and use BigQuery ML to create a machine learning model. You plan to use the model for predictions against a raw dataset that has not been transformed. How should you set up your workflow in order to prevent skew at prediction time?;1;When creating your model, use BigQuery's TRANSFORM clause to define preprocessing steps. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any transformations on the raw input data;When creating your model, use BigQuery's TRANSFORM clause to define preprocessing steps. Before requesting predictions, use a saved query to transform your raw input data, and then use ML.EVALUATE;Use a BigQuery view to define your preprocessing logic. When creating your model, use the view as your model training data. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any transformations on the raw input data;Preprocess all data using Dataflow. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any further transformations on the input data;;;When creating your model, use BigQuery's TRANSFORM clause to define preprocessing steps. At prediction time, use BigQuery's ML.EVALUATE clause without specifying any transformations on the raw input data;The TRANSFORM clause in BigQuery ML allows you to preprocess the input features before training. The same transformations are automatically applied during the prediction or evaluation. MAKE SURE GPT ANSWER
172;You are analyzing the price of a company's stock. Every 5 seconds, you need to compute a moving average of the past 30 seconds' worth of data. You are reading data from Pub/Sub and using DataFlow to conduct the analysis. How should you set up your windowed pipeline?;1;Use a fixed window with a duration of 5 seconds. Emit results by setting the following trigger: AfterProcessingTime.pastFirstElementInPane().plusDelayOf (Duration.standardSeconds(30));Use a fixed window with a duration of 30 seconds. Emit results by setting the following trigger: AfterWatermark.pastEndOfWindow().plusDelayOf (Duration.standardSeconds(5));Use a sliding window with a duration of 5 seconds. Emit results by setting the following trigger: AfterProcessingTime.pastFirstElementInPane().plusDelayOf (Duration.standardSeconds(30));Use a sliding window with a duration of 30 seconds and a period of 5 seconds. Emit results by setting the following trigger: AfterWatermark.pastEndOfWindow ();;;Use a sliding window with a duration of 30 seconds and a period of 5 seconds. Emit results by setting the following trigger: AfterWatermark.pastEndOfWindow();Sliding windows are a type of windowing strategy that suits your need because you want to compute an average over the past 30 seconds every 5 seconds. In other words, the windows overlap and each element may fall into multiple windows. MAKE SURE GPT ANSWER
173;You are designing a pipeline that publishes application events to a Pub/Sub topic. Although message ordering is not important, you need to be able to aggregate events across disjoint hourly intervals before loading the results to BigQuery for analysis. What technology should you use to process and load this data to BigQuery while ensuring that it will scale with large volumes of events?;1;Create a Cloud Function to perform the necessary data processing that executes using the Pub/Sub trigger every time a new message is published to the topic;Schedule a Cloud Function to run hourly, pulling all available messages from the Pub/Sub topic and performing the necessary aggregations;Schedule a batch Dataflow job to run hourly, pulling all available messages from the Pub/Sub topic and performing the necessary aggregations;Create a streaming Dataflow job that reads continually from the Pub/Sub topic and performs the necessary aggregations using tumbling windows;;;Create a streaming Dataflow job that reads continually from the Pub/Sub topic and performs the necessary aggregations using tumbling windows;Dataflow is designed for large-scale processing scenarios and offers both batch and stream processing capabilities. In this case, you are processing streaming data, so a streaming job is appropriate. You can use tumbling windows to aggregate events across disjoint hourly intervals. MAKE SURE GPT ANSWER
174;You work for a large financial institution that is planning to use Dialogflow to create a chatbot for the company's mobile app. You have reviewed old chat logs and tagged each conversation for intent based on each customer's stated intention for contacting customer service. About 70% of customer requests are simple requests that are solved within 10 intents. The remaining 30% of inquiries require much longer, more complicated requests. Which intents should you automate first?;1;Automate the 10 intents that cover 70% of the requests so that live agents can handle more complicated requests.;Automate the more complicated requests first because those require more of the agents' time.;Automate a blend of the shortest and longest intents to be representative of all intents.;Automate intents in places where common words such as 'payment' appear only once so the software isn't confused.;;;Automate the 10 intents that cover 70% of the requests so that live agents can handle more complicated requests.;By automating these intents, you can free up a significant amount of time for customer service agents, allowing them to focus on more complex tasks. This strategy allows for a more efficient use of resources. MAKE SURE GPT ANSWER
175;Your company is implementing a data warehouse using BigQuery, and you have been tasked with designing the data model. You move your on-premises sales data warehouse with a star data schema to BigQuery but notice performance issues when querying the data of the past 30 days. Based on Google's recommended practices, what should you do to speed up the query without increasing storage costs?;1;Denormalize the data.;Shard the data by customer ID.;Materialize the dimensional data in views.;Partition the data by transaction date.;;;Partition the data by transaction date.;In BigQuery, you can reduce the cost of queries by structuring your data so that you can exclude irrelevant data. By partitioning your table by transaction date, BigQuery processes less data when executing the query. MAKE SURE GPT ANSWER
176;You have uploaded 5 years of log data to Cloud Storage. A user reported that some data points in the log data are outside of their expected ranges, which indicates errors. You need to address this issue and be able to run the process again in the future while keeping the original data for compliance reasons. What should you do?;1;Import the data from Cloud Storage into BigQuery. Create a new BigQuery table, and skip the rows with errors.;Create a Compute Engine instance and create a new copy of the data in Cloud Storage. Skip the rows with errors.;Create a Dataflow workflow that reads the data from Cloud Storage, checks for values outside the expected range, sets the value to an appropriate default, and writes the updated records to a new dataset in Cloud Storage.;Create a Dataflow workflow that reads the data from Cloud Storage, checks for values outside the expected range, sets the value to an appropriate default, and writes the updated records to the same dataset in Cloud Storage.;;;Create a Dataflow workflow that reads the data from Cloud Storage, checks for values outside the expected range, sets the value to an appropriate default, and writes the updated records to a new dataset in Cloud Storage.;This method allows you to keep the original data for compliance reasons while ensuring that future data integrity checks and operations are performed on the cleaned data. MAKE SURE GPT ANSWER
177;You want to rebuild your batch pipeline for structured data on Google Cloud. You are using PySpark to conduct data transformations at scale, but your pipelines are taking over twelve hours to run. To expedite development and pipeline run time, you want to use a serverless tool and SOL syntax. You have already moved your raw data into Cloud Storage. How should you build the pipeline on Google Cloud while meeting speed and processing requirements?;1;Convert your PySpark commands into SparkSQL queries to transform the data, and then run your pipeline on Dataproc to write the data into BigQuery.;Ingest your data into Cloud SQL, convert your PySpark commands into SparkSQL queries to transform the data, and then use federated quenes from BigQuery for machine learning.;Ingest your data into BigQuery from Cloud Storage, convert your PySpark commands into BigQuery SQL queries to transform the data, and then write the transformations to a new table.;Use Apache Beam Python SDK to build the transformation pipelines, and write the data into BigQuery.;;;Ingest your data into BigQuery from Cloud Storage, convert your PySpark commands into BigQuery SQL queries to transform the data, and then write the transformations to a new table.;BigQuery is a fully managed, serverless data warehouse that enables super-fast SQL queries using the processing power of Google's infrastructure. It also supports SQL syntax for data transformation, making it a suitable choice for rebuilding the batch pipeline. MAKE SURE GPT ANSWER
178;You are testing a Dataflow pipeline to ingest and transform text files. The files are compressed gzip, errors are written to a dead-letter queue, and you are using SideInputs to join data. You noticed that the pipeline is taking longer to complete than expected, what should you do to expedite the Dataflow job?;1;Switch to compressed Avro files.;Reduce the batch size.;Retry records that throw an error.;Use CoGroupByKey instead of the SideInput.;;;Use CoGroupByKey instead of the SideInput.;In Apache Beam and thus in Dataflow, using SideInputs can slow down your pipeline if the amount of data is large because all the data needs to be loaded into memory. CoGroupByKey is a better solution when dealing with large datasets as it doesn't require all data to be loaded into memory. MAKE SURE GPT ANSWER
179;You are building a real-time prediction engine that streams files, which may contain PII (personal identifiable information) data, into Cloud Storage and eventually into BigQuery. You want to ensure that the sensitive data is masked but still maintains referential integrity, because names and emails are often used as join keys. How should you use the Cloud Data Loss Prevention API (DLP API) to ensure that the PII data is not accessible by unauthorized individuals?;1;Create a pseudonym by replacing the PII data with cryptogenic tokens, and store the non-tokenized data in a locked-down button.;Redact all PII data, and store a version of the unredacted data in a locked-down bucket.;Scan every table in BigQuery, and mask the data it finds that has PII.;Create a pseudonym by replacing PII data with a cryptographic format-preserving token.;;;Create a pseudonym by replacing PII data with a cryptographic format-preserving token.;This method helps ensure the sensitive data is not accessible by unauthorized individuals while maintaining referential integrity. Cryptographic tokens cannot be reversed without the encryption key, and the format-preserving feature ensures the tokenized data retains the format of the original data, enabling it to be used as join keys. MAKE SURE GPT ANSWER
180;You are migrating an application that tracks library books and information about each book, such as author or year published, from an on-premises data warehouse to BigQuery. In your current relational database, the author information is kept in a separate table and joined to the book information on a common key. Based on Google's recommended practice for schema design, how would you structure the data to ensure optimal speed of queries about the author of each book that has been borrowed?;1;Keep the schema the same, maintain the different tables for the book and each of the attributes, and query as you are doing today.;Create a table that is wide and includes a column for each attribute, including the author's first name, last name, date of birth, etc.;Create a table that includes information about the books and authors, but nest the author fields inside the author column.;Keep the schema the same, create a view that joins all of the tables, and always query the view.;;;Create a table that includes information about the books and authors, but nest the author fields inside the author column.;In BigQuery, you can create nested and repeated fields to represent hierarchical data structures. This way, you would keep data about authors associated with each book, and it would allow fast queries since all the necessary information is in the same table MAKE SURE GPT ANSWER.
181;You need to give new website users a globally unique identifier (GUID) using a service that takes in data points and returns a GUID. This data is sourced from both internal and external systems via HTTP calls that you will make via microservices within your pipeline. There will be tens of thousands of messages per second and that can be multi-threaded. and you worry about the backpressure on the system. How should you design your pipeline to minimize that backpressure?;1;Call out to the service via HTTP;Create the pipeline statically in the class definition;Create a new object in the startBundle method of DoFn;Batch the job into ten-second increments;;;Batch the job into ten-second increments;Batching the job into ten-second increments helps to avoid overwhelming the system with too many concurrent requests, thus mitigating backpressure.
182;You are migrating your data warehouse to Google Cloud and decommissioning your on-premises data center. Because this is a priority for your company, you know that bandwidth will be made available for the initial data load to the cloud. The files being transferred are not large in number, but each file is 90 GB. Additionally, you want your transactional systems to continually update the warehouse on Google Cloud in real time. What tools should you use to migrate the data and ensure that it continues to write to your warehouse?;1;Storage Transfer Service for the migration, Pub/Sub and Cloud Data Fusion for the real-time updates;BigQuery Data Transfer Service for the migration, Pub/Sub and Dataproc for the real-time updates;gsutil for the migration, Pub/Sub and Dataflow for the real-time updates;gsutil for both the migration and the real-time updates;;;gsutil for the migration, Pub/Sub and Dataflow for the real-time updates;gsutil can be used for the initial large data migration, and Google Cloud Pub/Sub combined with Cloud Dataflow can handle real-time data updates effectively.
183;You are using Bigtable to persist and serve stock market data for each of the major indices. To serve the trading application, you need to access only the most recent stock prices that are streaming in. How should you design your row key and tables to ensure that you can access the data with the simplest query?;1;Create one unique table for all of the indices, and then use the index and timestamp as the row key design;Create one unique table for all of the indices, and then use a reverse timestamp as the row key design;For each index, have a separate table and use a timestamp as the row key design;For each index, have a separate table and use a reverse timestamp as the row key design;;;Create one unique table for all of the indices, and then use a reverse timestamp as the row key design;Using a reverse timestamp as the row key in a single table will ensure that the most recent stock prices are at the top of the table and can be easily accessed. MAKE SURE GPT ANSWER
184;You are building a report-only data warehouse where the data is streamed into BigQuery via the streaming API. Following Google's best practices, you have both a staging and a production table for the data. How should you design your data loading to ensure that there is only one master dataset without affecting performance on either the ingestion or reporting pieces?;1;Have a staging table that is an append-only model, and then update the production table every three hours with the changes written to staging;Have a staging table that is an append-only model, and then update the production table every ninety minutes with the changes written to staging;Have a staging table that moves the staged data over to the production table and deletes the contents of the staging table every three hours;Have a staging table that moves the staged data over to the production table and deletes the contents of the staging table every thirty minutes;;;Have a staging table that is an append-only model, and then update the production table every three hours with the changes written to staging;Using a staging table as an append-only model, then updating the production table every three hours ensures a single master dataset and does not disrupt the ingestion or reporting processes. MAKE SURE community C
185;You issue a new batch job to Dataflow. The job starts successfully, processes a few elements, and then suddenly fails and shuts down. You navigate to the Dataflow monitoring interface where you find errors related to a particular DoFn in your pipeline. What is the most likely cause of the errors?;1;Job validation;Exceptions in worker code;Graph or pipeline construction;Insufficient permissions;;;Exceptions in worker code;Errors related to a particular DoFn (data processing function) in your Dataflow pipeline are commonly due to issues in the worker code.
186;Your new customer has requested daily reports that show their net consumption of Google Cloud compute resources and who used the resources. You need to quickly and efficiently generate these daily reports. What should you do?;1;Do daily exports of Cloud Logging data to BigQuery. Create views filtering by project, log type, resource, and user;Filter data in Cloud Logging by project, resource, and user then export the data in CSV format;Filter data in Cloud Logging by project, log type, resource, and user, then import the data into BigQuery;Export Cloud Logging data to Cloud Storage in CSV format. Cleanse the data using Dataprep, filtering by project, resource, and user;;;Do daily exports of Cloud Logging data to BigQuery. Create views filtering by project, log type, resource, and user;Exporting Cloud Logging data to BigQuery and creating views with the necessary filters allow you to quickly generate detailed reports about resource usage.
187;"The Development and External teams have the project viewer Identity and Access Management (IAM) role in a folder named Visualization. You want the Development Team to be able to read data from both Cloud Storage and BigQuery, but the External Team should only be able to read data from BigQuery. What should you do? <img src=""https://www.examtopics.com/assets/media/exam-media/04341/0012100001.jpg"" alt=""Italian Trulli"">";1;Remove Cloud Storage IAM permissions to the External Team on the acme-raw-data project;Create Virtual Private Cloud (VPC) firewall rules on the acme-raw-data project that deny all ingress traffic from the External Team CIDR range;Create a VPC Service Controls perimeter containing both projects and BigQuery as a restricted API. Add the External Team users to the perimeter's Access Level;Create a VPC Service Controls perimeter containing both projects and Cloud Storage as a restricted API. Add the Development Team users to the perimeter's Access Level;;;Remove Cloud Storage IAM permissions to the External Team on the acme-raw-data project;By removing the Cloud Storage IAM permissions to the External Team on the specific project, it ensures the Development Team can read data from both Cloud Storage and BigQuery, while the External Team can only read data from BigQuery. MAKE SURE community D
188;Your startup has a web application that currently serves customers out of a single region in Asia. You are targeting funding that will allow your startup to serve customers globally. Your current goal is to optimize for cost, and your post-funding goal is to optimize for global presence and performance. You must use a native JDBC driver. What should you do?;1;Use Cloud Spanner to configure a single region instance initially, and then configure multi-region Cloud Spanner instances after securing funding;Use a Cloud SQL for PostgreSQL highly available instance first, and Bigtable with US, Europe, and Asia replication after securing funding;Use a Cloud SQL for PostgreSQL zonal instance first, and Bigtable with US, Europe, and Asia after securing funding;Use a Cloud SQL for PostgreSQL zonal instance first, and Cloud SQL for PostgreSQL with highly available configuration after securing funding;;;Use Cloud Spanner to configure a single region instance initially, and then configure multi-region Cloud Spanner instances after securing funding;Using Cloud Spanner, a single-region instance can be initially configured for cost optimization, and then multi-region instances can be configured after securing funding for global presence and performance optimization.
189;You need to migrate 1 PB of data from an on-premises data center to Google Cloud. Data transfer time during the migration should take only a few hours. You want to follow Google-recommended practices to facilitate the large data transfer over a secure connection. What should you do?;1;Establish a Cloud Interconnect connection between the on-premises data center and Google Cloud, and then use the Storage Transfer Service;Use a Transfer Appliance and have engineers manually encrypt, decrypt, and verify the data;Establish a Cloud VPN connection, start gcloud compute scp jobs in parallel, and run checksums to verify the data;Reduce the data into 3 TB batches, transfer the data using gsutil, and run checksums to verify the data;;;Establish a Cloud Interconnect connection between the on-premises data center and Google Cloud, and then use the Storage Transfer Service;Establishing a Cloud Interconnect connection between the on-premises data center and Google Cloud, then using the Storage Transfer Service is a Google-recommended practice for a secure and rapid large data transfer.
190;You are loading CSV files from Cloud Storage to BigQuery. The files have known data quality issues, including mismatched data types, such as STRINGs and INT64s in the same column, and inconsistent formatting of values such as phone numbers or addresses. You need to create the data pipeline to maintain data quality and perform the required cleansing and transformation. What should you do?;1;Use Data Fusion to transform the data before loading it into BigQuery;Use Data Fusion to convert the CSV files to a self-describing data format, such as AVRO, before loading the data to BigQuery;Load the CSV files into a staging table with the desired schema, perform the transformations with SQL, and then write the results to the final destination table;Create a table with the desired schema, load the CSV files into the table, and perform the transformations in place using SQL;;;Use Data Fusion to transform the data before loading it into BigQuery;Using Data Fusion to transform the data before loading it into BigQuery helps maintain data quality and perform the necessary cleansing and transformation of data.
191;You are developing a new deep learning model that predicts a customer's likelihood to buy on your ecommerce site. After running an evaluation of the model against both the original training data and new test data, you find that your model is overfitting the data. You want to improve the accuracy of the model when predicting new data. What should you do?;1;Increase the size of the training dataset, and increase the number of input features.;Increase the size of the training dataset, and decrease the number of input features.;Reduce the size of the training dataset, and increase the number of input features.;Reduce the size of the training dataset, and decrease the number of input features.;;;Increase the size of the training dataset, and decrease the number of input features.;Overfitting occurs when a model is excessively complex, such as having too many parameters relative to the number of observations. Increasing the size of the dataset and reducing the number of features can help alleviate overfitting.
192;You are implementing a chatbot to help an online retailer streamline their customer service. The chatbot must be able to respond to both text and voice inquiries. You are looking for a low-code or no-cade option, and you want to be able to easily train the chatbot to provide answers to keywords. What should you do?;1;Use the Cloud Speech-to-Text API to build a Python application in App Engine.;Use the Cloud Speech-to-Text API to build a Python application in a Compute Engine instance.;Use Dialogflow for simple queries and the Cloud Speech-to-Text API for complex queries.;Use Dialogflow to implement the chatbot, defining the intents based on the most common queries collected.;;;Use Dialogflow to implement the chatbot, defining the intents based on the most common queries collected.;Dialogflow is a natural language understanding platform that makes it easy to design and integrate a conversational user interface. It's ideal for implementing chatbots and processing both text and voice inputs.
193;An aerospace company uses a proprietary data format to store its flight data. You need to connect this new data source to BigQuery and stream the data into BigQuery. You want to efficiently import the data into BigQuery while consuming as few resources as possible. What should you do?;1;Write a shell script that triggers a Cloud Function that performs periodic ETL batch jobs on the new data source.;Use a standard Dataflow pipeline to store the raw data in BigQuery, and then transform the format later when the data is used.;Use Apache Hive to write a Dataproc job that streams the data into BigQuery in CSV format.;Use an Apache Beam custom connector to write a Dataflow pipeline that streams the data into BigQuery in Avro format.;;;Use an Apache Beam custom connector to write a Dataflow pipeline that streams the data into BigQuery in Avro format.;Apache Beam is a unified model for defining both batch and streaming data-parallel processing pipelines. Using it with Dataflow allows you to process the data efficiently.
194;An online brokerage company requires a high volume trade processing architecture. You need to create a secure queuing system that triggers jobs. The jobs will run in Google Cloud and call the company's Python API to execute trades. You need to efficiently implement a solution. What should you do?;1;Use a Pub/Sub push subscription to trigger a Cloud Function to pass the data to the Python API;Write an application hosted on a Compute Engine instance that makes a push subscription to the Pub/Sub topic;Write an application that makes a queue in a NoSQL database;Use Cloud Composer to subscribe to a Pub/Sub topic and call the Python API;;;Use a Pub/Sub push subscription to trigger a Cloud Function to pass the data to the Python API;This approach leverages Google Cloud's serverless solutions, allowing for the efficient management of high-volume data processing. Pub/Sub can handle the high volume of messages, and Cloud Function can effectively trigger the Python API.
195;Your company wants to be able to retrieve large result sets of medical information from your current system, which has over 10 TBs in the database, and store the data in new tables for further query. The database must have a low-maintenance architecture and be accessible via SQL. You need to implement a cost-effective solution that can support data analytics for large result sets. What should you do?;1;Use Cloud SQL, but first organize the data into tables. Use JOIN in queries to retrieve data.;Use BigQuery as a data warehouse. Set output destinations for caching large queries.;Use a MySQL cluster installed on a Compute Engine managed instance group for scalability.;Use Cloud Spanner to replicate the data across regions. Normalize the data in a series of tables.;;;Use BigQuery as a data warehouse. Set output destinations for caching large queries.;BigQuery is Google's fully managed, petabyte-scale, low-cost analytics data warehouse. It's designed to be easy to use with SQL and it's ideal for analyzing large datasets
